listing_id,high_revenue_efficiency,log_price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_years,latitude,longitude,amenities_count,has_wifi,has_kitchen,has_washer,has_air_conditioning,has_parking,has_workspace,name_len,description_len,neighborhood_overview_len,host_about_len,has_description,has_neighborhood_overview,has_host_about,host_response_time,neighbourhood_cleansed,property_type_grouped,room_type,avg_minimum_nights,median_minimum_nights,avg_maximum_nights,median_maximum_nights
936294457402554213,0,5.3612921657094255,3,1.5,3.0,1.0,4,30,1.0,0.0,0.0,1.0,1.0,0,10.487671232876712,52.414992861193376,4.884434174105549,41,1,1,1,0,1,1,28,503,189,329,1,1,1,unknown,Noord-West,Entire home,Entire home/apt,4.0,4.0,30.0,30.0
936814096393617140,1,5.365976015021851,2,1.5,1.0,1.0,3,21,1.0,0.8,0.0,1.0,1.0,0,8.657534246575343,52.3620925,4.8941446,39,1,1,1,0,0,1,48,515,434,52,1,1,1,unknown,Centrum-Oost,Entire loft,Entire home/apt,3.052054794520548,3.0,21.0,21.0
936891106987324098,1,5.5909869805108565,2,1.5,2.0,1.0,2,30,1.0,1.0,1.0,1.0,1.0,0,10.312328767123288,52.37858,4.87007,40,1,1,1,0,1,1,26,530,249,68,1,1,1,within a few hours,Westerpark,Entire condo,Entire home/apt,2.0,2.0,30.0,30.0
937040480939841068,1,4.663439094112067,2,1.0,1.0,1.0,4,14,1.0,0.98,1.0,1.0,1.0,0,9.98082191780822,52.3939965,4.8997666,26,1,0,0,0,1,1,50,500,740,0,1,1,0,within an hour,Oud-Noord,Room in boutique hotel,Private room,3.9534246575342467,4.0,922.6602739726028,1125.0
937681954220734008,1,5.883322388488279,3,1.0,2.0,1.0,1,1,0.7,0.43,0.0,1.0,1.0,0,2.282191780821918,52.3424768,4.9000032,24,1,1,1,0,1,1,28,498,0,0,1,0,0,within a few hours,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0
937739119407794653,0,5.958424693029782,4,3.0,5.0,5.0,4,7,0.2,0.08,0.0,1.0,1.0,0,11.564383561643835,52.354756462659815,4.939201559208365,51,1,1,1,1,1,1,22,498,1000,31,1,1,1,a few days or more,Watergraafsmeer,Entire home,Entire home/apt,4.0,4.0,7.0,7.0
938099786508114629,1,4.700480365792417,1,1.0,1.0,1.0,30,365,1.0,0.69,1.0,1.0,1.0,0,11.265753424657534,52.33161693458488,4.876522507642085,6,1,1,1,0,1,0,42,140,0,44,1,0,1,within an hour,Buitenveldert - Zuidas,Private room in bed and breakfast,Private room,30.0,30.0,365.0,365.0
938315419772528508,0,5.978885764901122,4,1.5,2.0,2.0,3,16,1.0,0.8,0.0,1.0,1.0,0,5.7835616438356166,52.35664140000001,4.8557356,43,1,1,1,0,0,1,39,455,331,0,1,1,0,unknown,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2.9945205479452053,3.0,16.0,16.0
938355707937895124,1,5.003946305945459,2,1.0,1.0,1.0,2,30,0.44,0.4,0.0,1.0,1.0,0,12.104109589041096,52.38633,4.91108,30,1,1,1,0,1,0,41,226,1000,26,1,1,1,a few days or more,Oud-Noord,Entire home,Entire home/apt,2.0,2.0,30.0,30.0
938383867707123499,0,5.181783550292085,2,1.0,1.0,1.0,2,1125,1.0,0.8,0.0,1.0,1.0,0,8.904109589041095,52.361635381560525,4.938822300313458,25,1,1,1,0,1,1,48,302,0,0,1,0,0,unknown,Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,2.5726027397260274,3.0,1125.0,1125.0
938439004409061352,1,5.641907070938114,4,1.0,3.0,4.0,4,15,1.0,0.75,0.0,1.0,1.0,0,14.150684931506849,52.35355,4.88476,61,1,1,1,0,1,0,23,461,0,3,1,0,1,within an hour,Zuid,Entire rental unit,Entire home/apt,4.0,4.0,15.0,15.0
938483919952615394,0,6.042632833682381,5,2.0,4.0,6.0,2,21,0.71,0.21,0.0,1.0,1.0,0,2.4027397260273973,52.35853,4.89567,69,1,1,1,0,1,1,45,520,473,0,1,1,0,within a day,Centrum-Oost,Entire home,Entire home/apt,1.9972602739726026,2.0,21.0,21.0
938746543920330117,1,5.247024072160486,4,1.0,2.0,2.0,3,14,1.0,0.26,0.0,1.0,1.0,0,2.1506849315068495,52.38482449008773,4.918778879164607,33,1,1,0,0,0,1,26,498,0,0,1,0,0,within a few hours,Oud-Noord,Entire rental unit,Entire home/apt,3.0,3.0,14.0,14.0
939081812175975963,0,5.521460917862246,2,1.5,1.0,1.0,2,30,0.78,0.73,0.0,1.0,1.0,0,8.504109589041096,52.3550246,4.9025671,28,1,1,1,0,0,1,22,305,1000,0,1,1,0,within a few hours,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2.0,2.0,30.0,30.0
939165049140338793,0,5.58724865840025,4,1.0,2.0,2.0,3,730,1.0,0.23,0.0,1.0,1.0,0,9.504109589041096,52.3949005830515,4.935243201049815,7,1,1,1,0,1,1,38,505,0,0,1,0,0,within a day,Noord-Oost,Entire rental unit,Entire home/apt,3.0,3.0,730.0,730.0
939627823120737775,1,5.942799375126701,4,3.0,3.0,3.0,2,14,1.0,0.75,1.0,1.0,1.0,0,13.452054794520548,52.3560865,4.8508734,17,1,1,1,1,1,0,50,481,378,69,1,1,1,within a day,Zuid,Entire condo,Entire home/apt,2.0,2.0,14.0,14.0
939651130074064568,0,5.043425116919247,2,1.5,1.0,1.0,3,30,1.0,0.8,0.0,1.0,1.0,0,11.526027397260274,52.34806,4.85575,42,1,1,1,0,1,1,31,456,0,327,1,0,1,unknown,Zuid,Entire rental unit,Entire home/apt,3.0,3.0,30.0,30.0
939926338004850560,0,5.198497031265826,4,1.5,2.0,2.0,4,21,0.4,0.03,0.0,1.0,1.0,0,12.205479452054794,52.41369824418541,4.881610893802169,51,1,1,1,0,1,1,46,517,366,0,1,1,0,a few days or more,Noord-West,Entire home,Entire home/apt,4.0,4.0,21.0,21.0
940391979580719136,1,5.713732805509369,3,1.5,2.0,2.0,4,30,0.1,0.18,0.0,1.0,1.0,0,8.06027397260274,52.37156,4.90167,27,1,1,1,0,0,1,28,476,1000,326,1,1,1,a few days or more,Centrum-Oost,Entire rental unit,Entire home/apt,4.0,4.0,30.0,30.0
940492514117974293,0,5.981414211254481,4,1.5,2.0,2.0,6,60,1.0,0.4,0.0,1.0,1.0,0,11.594520547945205,52.37395107286344,4.886851333939133,31,1,1,1,0,0,1,36,384,0,0,1,0,0,within an hour,Centrum-West,Entire condo,Entire home/apt,6.0,6.0,60.0,60.0
941023765077787000,1,5.459585514144159,4,2.0,2.0,4.0,2,365,1.0,1.0,1.0,1.0,1.0,1,12.578082191780823,52.3666525,4.8648229,12,1,1,1,0,0,0,17,221,285,98,1,1,1,within an hour,De Baarsjes - Oud-West,Private room in townhouse,Private room,2.0,2.0,365.0,365.0
941243980403100595,1,5.429345628954441,2,1.0,1.0,1.0,2,1125,1.0,0.86,0.0,1.0,1.0,0,6.739726027397261,52.3658754,4.8522377,48,1,1,1,0,0,0,39,463,0,440,1,0,1,within a day,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2.073972602739726,2.0,1125.0,1125.0
941698577457725903,0,5.214935757608986,2,1.0,1.0,1.0,5,15,1.0,0.29,0.0,1.0,1.0,0,9.282191780821918,52.35275212124317,4.8966628561606225,23,1,1,1,0,0,0,28,411,0,68,1,0,1,within an hour,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4.934246575342466,5.0,15.0,15.0
941719564374496369,0,5.652489180268651,4,2.0,3.0,3.0,4,20,1.0,0.8,0.0,1.0,1.0,0,10.068493150684931,52.37342,4.9407,50,1,1,1,0,1,0,9,231,290,63,1,1,1,unknown,Oostelijk Havengebied - Indische Buurt,Boat,Entire home/apt,4.0,4.0,20.0,20.0
942015123975133471,0,5.8888779583328805,3,1.0,1.0,1.0,2,15,1.0,0.33,0.0,1.0,1.0,0,4.235616438356164,52.36093,4.86398,36,1,1,1,0,1,1,31,489,205,0,1,1,0,unknown,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2.0,2.0,15.0,15.0
942471880180527140,0,5.0689042022202315,5,1.0,3.0,3.0,4,20,1.0,0.5,0.0,1.0,1.0,0,13.306849315068494,52.41391,4.88217,83,1,1,1,0,1,1,39,505,235,117,1,1,1,within a few hours,Noord-West,Entire home,Entire home/apt,4.0,4.0,20.0,20.0
942509977175329236,1,5.062595033026967,2,1.0,1.0,1.0,2,7,1.0,1.0,1.0,1.0,1.0,0,2.136986301369863,52.399172,4.903297999999999,33,1,0,0,0,1,1,36,534,492,384,1,1,1,within an hour,Oud-Noord,Entire home,Entire home/apt,2.0,2.0,7.0,7.0
942511763720053918,0,5.863631175598097,4,2.0,2.0,5.0,3,21,1.0,0.8,0.0,1.0,1.0,0,5.832876712328767,52.38799909999999,4.880700399999999,10,1,1,1,0,1,0,24,503,0,0,1,0,0,unknown,Westerpark,Entire rental unit,Entire home/apt,3.0,3.0,21.0,21.0
942786576297956734,1,5.147494476813453,2,1.5,1.0,1.0,1,30,1.0,1.0,1.0,1.0,1.0,1,9.375342465753425,52.35280268307696,4.893256290124923,27,1,0,0,0,0,0,43,496,1000,0,1,1,0,within an hour,De Pijp - Rivierenbuurt,Private room in bed and breakfast,Private room,3.4575342465753423,3.0,30.0,30.0
943207031212073899,0,5.337538079701318,2,1.0,1.0,1.0,3,10,1.0,1.0,0.0,1.0,1.0,0,7.997260273972603,52.35344,4.9006,7,1,1,1,0,0,0,30,117,0,0,1,0,0,within an hour,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4.715068493150685,5.0,10.0,10.0
943324935229158687,1,5.017279836814924,2,1.0,1.0,1.0,1,1125,0.81,0.72,0.0,1.0,1.0,1,10.150684931506849,52.3695157,4.8883713,30,1,0,0,0,1,1,42,392,0,178,1,0,1,within an hour,Centrum-West,Private room in bed and breakfast,Private room,1.0328767123287672,1.0,1088.2301369863014,1125.0
943345873838559918,0,5.303304908059076,2,1.0,1.0,1.0,3,7,1.0,0.0,0.0,1.0,1.0,0,11.336986301369864,52.35914,4.98906,16,1,1,0,0,0,1,24,161,0,0,1,0,0,within a day,IJburg - Zeeburgereiland,Entire home,Entire home/apt,3.0,3.0,7.0,7.0
944151505003375737,1,5.902633333401366,4,1.0,1.0,2.0,1,1125,0.93,0.99,1.0,1.0,1.0,1,2.1315068493150684,52.3933476,4.8858845,44,1,1,1,1,0,1,45,526,189,441,1,1,1,within an hour,Westerpark,Entire rental unit,Entire home/apt,1.789041095890411,2.0,740.1945205479452,999.0
944158722001992100,1,4.955827057601261,2,1.0,1.0,1.0,4,35,1.0,0.83,1.0,1.0,1.0,0,12.772602739726027,52.380243026238645,4.869723368146542,44,1,1,1,0,1,1,39,465,835,272,1,1,1,within a few hours,Westerpark,Other,Private room,4.0,4.0,35.0,35.0
944205301952149631,1,5.476463551931511,2,1.0,1.0,1.0,3,1125,0.75,0.5,0.0,1.0,1.0,0,9.868493150684932,52.3766173,4.8487968,67,1,1,1,0,1,1,47,548,1000,440,1,1,1,within a day,Bos en Lommer,Entire rental unit,Entire home/apt,3.0,3.0,1125.0,1125.0
944559043890208372,1,4.820281565605037,2,1.5,1.0,1.0,2,35,1.0,0.93,1.0,1.0,1.0,1,11.717808219178082,52.349568881406306,4.846493514526356,26,1,0,1,0,1,0,30,546,174,0,1,1,0,within an hour,Zuid,Private room in rental unit,Private room,1.0,1.0,1125.0,1125.0
944620961073556442,0,5.187385805840755,2,1.5,1.0,1.0,2,21,0.57,0.0,0.0,1.0,1.0,0,4.47945205479452,52.3570632,4.9186619,15,1,1,1,0,0,0,36,462,0,0,1,0,0,within a day,Oud-Oost,Entire rental unit,Entire home/apt,2.0,2.0,21.0,21.0
944624533728743932,1,5.25227342804663,2,1.0,1.0,1.0,3,365,0.83,0.54,0.0,1.0,1.0,0,2.128767123287671,52.355863632987514,4.919752540279091,5,1,1,1,0,1,0,29,454,0,0,1,0,0,within a day,Oud-Oost,Entire rental unit,Entire home/apt,3.0,3.0,365.0,365.0
944667806550258663,0,5.860786223465865,2,1.0,1.0,1.0,3,365,1.0,0.0,0.0,1.0,1.0,0,10.284931506849315,52.3900423,4.9381845,43,1,1,1,0,1,1,50,489,641,0,1,1,0,unknown,Oud-Noord,Entire rental unit,Entire home/apt,3.0,3.0,365.0,365.0
944724817993907481,0,5.631211781821365,4,1.0,2.0,2.0,4,90,0.11,0.1,0.0,1.0,1.0,0,11.887671232876713,52.37098683025628,4.861952111682269,31,1,1,1,0,0,1,43,406,0,283,1,0,1,a few days or more,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4.0,4.0,90.0,90.0
